0,1,2,3,4
0.2864583333333333,0.625,8,110,5
0.1484375,0.4375,16,114,7
0.13194444444444445,0.5555555555555556,18,114,10
0.09134615384615384,0.3076923076923077,26,114,8
0.06469298245614036,0.23684210526315788,38,118,9
0.07526881720430108,0.1935483870967742,31,112,6
0.011987895716945996,0.055865921787709494,179,103,10
0.003627873563218391,0.020689655172413793,580,101,12
0.004174933862433863,0.01984126984126984,504,101,10
0.0008062553243276135,0.0036509675063891934,2739,106,10
0.00010802193217712617,0.00044698730556052207,22372,116,10
0.24278846153846154,0.6153846153846154,13,101,8
0.15178571428571427,0.38095238095238093,21,102,8
0.08305921052631579,0.21052631578947367,38,101,8
0.08783783783783784,0.2702702702702703,37,104,10
0.01771390374331551,0.06417112299465241,187,106,12
0.008057228915662651,0.02650602409638554,415,107,11
0.006622942386831276,0.024691358024691357,486,103,12
0.0020242134484885874,0.008019740900678593,1621,105,13
0.0007307037457434733,0.002724177071509648,4405,103,12
0.000168630122348667,0.000747983116952503,18717,101,14
4.98000031872002e-05,0.00017529601121894472,62751,100,11
0.07741477272727272,0.2159090909090909,88,109,19
0.06439393939393939,0.20202020202020202,99,102,20
0.042868589743589744,0.1346153846153846,156,107,21
0.03214285714285714,0.08571428571428572,210,108,18
0.030813953488372094,0.08372093023255814,215,106,18
0.00715922107674685,0.024054982817869417,873,100,21
0.00475199131064446,0.01448225923244026,1381,105,20
0.001129980691592066,0.0038616815868000704,5697,103,22
0.0004508078476630121,0.001370455856895557,13864,100,19
0.00013537131950848148,0.00047178915313847013,46631,101,22
4.8062786963110395e-05,0.00015078521400191497,132639,102,20
0.16666666666666666,0.5769230769230769,26,104,15
0.1204954954954955,0.35135135135135137,37,107,13
0.20238095238095238,0.5238095238095238,21,102,11
0.0640096618357488,0.2028985507246377,69,106,14
0.041666666666666664,0.12380952380952381,105,105,13
0.03680555555555556,0.10833333333333334,120,106,13
0.008064516129032258,0.02867383512544803,558,108,16
0.007665452337583485,0.023679417122040074,549,101,13
0.0028267752148349165,0.0101763907734057,1474,100,15
0.0007704049305915558,0.0029376188007603247,5787,107,17
0.00042245587683064213,0.0014081862561021404,10652,108,15
0.13297872340425532,0.3191489361702128,47,100,15
0.10218253968253968,0.2698412698412698,63,103,17
0.05580357142857143,0.11607142857142858,112,100,13
0.053353658536585365,0.13821138211382114,123,105,17
0.03205128205128205,0.08717948717948718,195,100,17
0.014379271070615034,0.03416856492027335,439,101,15
0.007302405498281787,0.020618556701030927,873,102,18
0.011286201022146508,0.022146507666098807,587,106,13
0.0015437649880095923,0.003357314148681055,4170,103,14
0.0003481703986892409,0.0008192244675040961,18310,102,15
0.0001845227956622949,0.0003690455913245898,35226,104,13
0.1059322033898305,0.2288135593220339,118,100,27
0.07340116279069768,0.19186046511627908,172,101,33
0.0625,0.1715686274509804,204,102,35
0.032722513089005235,0.08900523560209424,382,100,34
0.02033011272141707,0.05958132045088567,621,101,37
0.021341463414634148,0.056910569105691054,615,105,35
0.011434280639431617,0.02930728241563055,1126,103,33
0.006145526057030482,0.01966568338249754,2034,100,40
0.0035059705637322967,0.009164121077478478,3601,101,33
0.0021952932911837022,0.00597119775201967,5694,100,34
0.0007070452508960573,0.001736111111111111,17856,101,31
0.15895061728395063,0.37037037037037035,54,103,20
0.10654008438818566,0.2911392405063291,79,101,23
0.0742296918767507,0.18487394957983194,119,106,22
0.06459948320413436,0.17054263565891473,129,100,22
0.032247765006385695,0.12643678160919541,261,101,33
0.03875968992248062,0.10697674418604651,215,100,23
0.021794871794871794,0.05384615384615385,390,102,21
0.008494733265375467,0.029561671763506627,981,100,29
0.006098991320666197,0.019704433497536946,1421,104,28
0.002806781183338947,0.009430784776018861,2969,100,28
0.0016847860639582937,0.004958992942971581,5243,106,26
0.1488095238095238,0.34523809523809523,84,100,29
0.09224137931034483,0.2,145,107,29
0.06016355140186916,0.14953271028037382,214,103,32
0.048745173745173745,0.11969111969111969,259,101,31
0.0389908256880734,0.08256880733944955,327,102,27
0.02158894645941278,0.0535405872193437,579,100,31
0.013503086419753086,0.030864197530864196,972,105,30
0.008366141732283465,0.019028871391076115,1524,102,29
0.004877097151775264,0.011705033164260631,2563,100,30
0.002694990488268865,0.005918410484041429,4731,102,28
0.0012596324836988738,0.002963841138114997,10122,102,30
0.08771929824561403,0.15789473684210525,285,100,45
0.061887254901960786,0.11764705882352941,408,101,48
0.04310344827586207,0.08448275862068966,580,100,49
0.02808069792802617,0.05561613958560523,917,103,51
0.019127773527161437,0.03366488140780413,1307,100,44
0.013219895287958115,0.024607329842931937,1910,101,47
0.009300595238095238,0.01636904761904762,2688,100,44
0.007114680191603269,0.012116089039165962,3549,101,43
0.0026044379622877385,0.004792165850609438,9599,100,46
0.0016383773510714988,0.002752473949800118,15259,100,42
0.0006216914932906562,0.0011572079281053798,40615,101,47
